onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.013	0.75	283	4.0038	2	4	2	302	0	0	1
10.021	0.75	284	8.0156	2	4	3	236	0	0	1
13.781	0.75	285	11.776	2	4	4	184	1	0.53563	1
17.583	0.75	286	15.577	2	4	6	244	0	0	1
21.345	0.75	287	19.34	2	4	5	209	0	0	1
24.35	0.75	288	22.345	2	4	4	177	0	0	1
27.361	0.75	289	25.354	2	4	2	307	0	0	1
30.617	0.75	290	28.61	2	4	1	114	0	0	1
34.376	0.75	291	32.37	2	4	4	162	1	0.6299	1
37.908	0.75	292	35.903	2	4	5	205	0	0	1
41.915	0.75	293	39.907	2	4	1	111	0	0	1
45.921	0.75	294	43.916	2	4	6	242	0	0	1
49.435	0.75	295	47.428	2	4	3	233	0	0	1
53.46	0.75	296	51.452	2	4	1	112	0	0	1
56.717	0.75	297	54.712	2	4	5	193	1	0.42397	1
60.004	0.75	298	57.996	2	4	1	107	0	0	1
63.01	0.75	299	61.003	2	4	2	308	0	0	1
66.516	0.75	300	64.512	2	4	6	243	0	0	1
70.281	0.75	301	68.274	2	4	2	301	0	0	1
73.537	0.75	302	71.533	2	4	3	234	0	0	1
76.546	0.75	303	74.541	2	4	6	245	0	0	1
79.804	0.75	304	77.797	2	4	4	164	0	0	1
83.562	0.75	305	81.556	2	4	5	207	0	0	1
87.084	0.75	306	85.079	2	4	3	228	0	0	1
90.091	0.75	307	88.084	2	4	1	111	1	0.35694	1
93.374	0.75	308	91.367	2	4	2	305	0	0	1
97.132	0.75	309	95.127	2	4	5	207	0	0	1
100.89	0.75	310	98.889	2	4	6	243	0	0	1
104.15	0.75	311	102.15	2	4	5	193	0	0	1
107.92	0.75	312	105.91	2	4	2	304	0	0	1
111.68	0.75	313	109.67	2	4	1	116	0	0	1
114.68	0.75	314	112.68	2	4	2	307	0	0	1
118.44	0.75	315	116.44	2	4	3	233	0	0	1
121.71	0.75	316	119.71	2	4	5	191	0	0	1
124.72	0.75	317	122.72	2	4	3	234	0	0	1
127.73	0.75	318	125.72	2	4	6	244	1	0.63576	1
131.51	0.75	319	129.51	2	4	1	107	0	0	1
135.27	0.75	320	133.27	2	4	2	308	0	0	1
139.28	0.75	321	137.28	2	4	4	184	0	0.45301	0
143.06	0.75	322	141.06	2	4	3	226	0	0	1
146.83	0.75	323	144.82	2	4	1	119	0	0	1
149.83	0.75	324	147.83	2	4	4	177	0	0	1
153.59	0.75	325	151.59	2	4	5	205	0	0	1
156.61	0.75	326	154.61	2	4	4	162	0	0	1
160.62	0.75	327	158.62	2	4	3	228	0	0	1
163.63	0.75	328	161.63	2	4	4	168	1	0.46336	1
166.66	0.75	329	164.66	2	4	6	242	0	0	1
169.67	0.75	330	167.67	2	4	2	302	1	0.49446	1
206.62	0.75	331	204.61	2	4	6	241	0	0	1
209.88	0.75	332	207.87	2	4	3	233	0	0	1
213.89	0.75	333	211.88	2	4	1	116	0	0	1
216.9	0.75	334	214.89	2	4	4	164	0	0	1
219.91	0.75	335	217.9	2	4	2	301	1	0.50961	1
223.21	0.75	336	221.2	2	4	5	209	0	0	1
226.71	0.75	337	224.71	2	4	6	243	1	0.46222	1
230.75	0.75	338	228.74	2	4	4	184	0	0	1
234.26	0.75	339	232.26	2	4	5	193	0	0	1
238.02	0.75	340	236.01	2	4	1	114	0	0	1
241.03	0.75	341	239.02	2	4	2	304	0	0	1
244.78	0.75	342	242.78	2	4	6	245	0	0	1
248.04	0.75	343	246.04	2	4	5	191	0	0	1
252.05	0.75	344	250.04	2	4	3	228	0	0	1
255.56	0.75	345	253.56	2	4	1	119	0	0	1
259.34	0.75	346	257.33	2	4	6	241	0	0	1
263.35	0.75	347	261.34	2	4	3	236	1	0.44627	1
266.63	0.75	348	264.63	2	4	5	205	0	0	1
270.64	0.75	349	268.64	2	4	6	245	0	0	1
274.4	0.75	350	272.4	2	4	2	305	0	0	1
277.91	0.75	351	275.9	2	4	4	168	0	0	1
281.16	0.75	352	279.16	2	4	3	226	1	0.37916	1
284.95	0.75	353	282.94	2	4	1	112	0	0	1
288.2	0.75	354	286.2	2	4	4	177	0	0	1
291.21	0.75	355	289.21	2	4	3	236	0	0	1
294.49	0.75	356	292.48	2	4	6	242	1	0.45866	1
297.78	0.75	357	295.77	2	4	2	307	0	0	1
301.54	0.75	358	299.53	2	4	4	164	0	0	1
304.54	0.75	359	302.54	2	4	3	226	0	0	1
308.3	0.75	360	306.3	2	4	5	193	0	0	1
312.06	0.75	361	310.06	2	4	4	168	0	0	1
315.58	0.75	362	313.57	2	4	1	112	1	0.48332	1
318.62	0.75	363	316.61	2	4	2	308	0	0	1
321.87	0.75	364	319.87	2	4	5	207	0	0	1
325.88	0.75	365	323.87	2	4	6	244	0	0	1
328.9	0.75	366	326.9	2	4	5	209	0	0	1
332.66	0.75	367	330.66	2	4	3	234	0	0	1
335.92	0.75	368	333.92	2	4	4	162	1	0.50186	1
339.96	0.75	369	337.95	2	4	1	107	0	0	1
343.97	0.75	370	341.97	2	4	2	302	0	0	1
347.73	0.75	371	345.73	2	4	6	242	0	0	1
351.74	0.75	372	349.73	2	4	3	228	0	0	1
355	0.75	373	352.99	2	4	2	301	0	0	1
358.5	0.75	374	356.5	2	4	5	191	1	0.54546	1
362.29	0.75	375	360.28	2	4	1	111	0	0	1
366.06	0.75	376	364.06	2	4	6	241	0	0	1
